n,sortusingbst.ticks
100,2756
200,7208
300,11984
400,16344
500,22592
600,27872
700,32248
800,37980
900,39480
1000,48204
1100,57828
1200,58656
1300,64108
1400,65864
1500,72308
1600,81652
1700,94508
1800,95068
1900,93244
2000,101420
2100,114808
2200,116196
2300,131104
2400,125144
2500,152920
2600,140380
2700,152972
2800,148056
2900,175432
3000,174232
3100,186868
3200,184772
3300,194028
3400,202468
3500,203816
3600,215192
3700,213884
3800,235920
3900,230424
4000,253532
4100,243332
4200,245040
4300,256040
4400,293024
4500,255880
4600,295656
4700,276300
4800,294960
4900,295592
5000,312976
5100,295816
5200,300876
5300,337548
5400,356992
5500,328880
5600,359160
5700,353692
5800,361708
5900,356416
6000,349940
6100,373648
6200,384004
6300,373748
6400,396744
6500,409540
6600,420828
6700,419584
6800,430884
6900,445032
7000,441220
7100,472604
7200,480180
7300,496632
7400,448044
7500,455560
7600,499944
7700,490316
7800,483380
7900,500884
8000,518696
8100,536436
8200,560412
8300,541340
8400,529264
8500,540180
8600,618340
8700,556848
8800,549512
8900,583864
9000,587352
9100,587748
9200,589720
9300,619880
9400,607864
9500,633916
9600,648536
9700,644816
9800,648892
9900,686316
