n,sortusingbst.time
100,0
200,0
300,0
400,0
500,1
600,2
700,3
800,3
900,4
1000,6
1100,7
1200,8
1300,10
1400,12
1500,13
1600,15
1700,17
1800,19
1900,21
2000,25
2100,27
2200,30
2300,32
2400,34
2500,41
2600,43
2700,42
2800,48
2900,54
3000,56
3100,60
3200,65
3300,72
3400,78
3500,78
3600,85
3700,94
3800,98
3900,102
4000,105
4100,109
4200,114
4300,127
4400,127
4500,130
4600,139
4700,149
4800,159
4900,160
5000,169
5100,177
5200,184
5300,188
5400,200
5500,202
5600,213
5700,219
5800,231
5900,232
6000,244
6100,254
6200,264
6300,263
6400,291
6500,310
6600,308
6700,314
6800,325
6900,334
7000,349
7100,354
7200,367
7300,377
7400,378
7500,387
7600,389
7700,406
7800,416
7900,426
8000,434
8100,450
8200,455
8300,472
8400,485
8500,497
8600,506
8700,515
8800,520
8900,540
9000,551
9100,561
9200,572
9300,595
9400,604
9500,614
9600,631
9700,639
9800,660
9900,671
