n,sortusingunorderedlist.time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,1
900,1
1000,1
1100,2
1200,2
1300,2
1400,2
1500,3
1600,3
1700,3
1800,4
1900,4
2000,4
2100,5
2200,5
2300,9
2400,7
2500,8
2600,7
2700,8
2800,10
2900,12
3000,10
3100,10
3200,11
3300,16
3400,13
3500,16
3600,16
3700,16
3800,17
3900,16
4000,21
4100,19
4200,26
4300,25
4400,26
4500,22
4600,29
4700,27
4800,31
4900,30
5000,32
5100,30
5200,34
5300,34
5400,41
5500,43
5600,37
5700,38
5800,40
5900,47
6000,41
6100,57
6200,46
6300,54
6400,45
6500,53
6600,52
6700,61
6800,60
6900,60
7000,57
7100,61
7200,61
7300,71
7400,66
7500,71
7600,65
7700,68
7800,76
7900,80
8000,75
8100,77
8200,80
8300,92
8400,86
8500,96
8600,97
8700,87
8800,91
8900,88
9000,100
9100,93
9200,113
9300,97
9400,114
9500,100
9600,119
9700,118
9800,120
9900,124
