Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
0,3,-1005305653,482900705
1,2,603605944,-543554688
2,10,-192991045,204182870
3,5,995317496,-944928003
4,3,641629293,785551045
5,10,-672561217,-2048306075
6,6,1119759078,-1015256202
7,3,-1791900191,1579637530
8,5,-299478040,-425635325
9,6,-740852635,-1982996354
10,10,-52783648,1330101937
11,6,68346110,-482617491
12,3,-1159881603,58050244
13,8,396777499,-333724848
14,6,-37177724,1080521517
15,2,970789608,1052331543
16,7,726988616,886385373
17,7,2057299347,-2008741114
18,4,-901373822,-100827563
19,9,-384306812,-347096525
20,4,964210208,1630318168
21,6,854439948,-72387254
22,5,1900737745,-2045430633
23,1,-1079166519,-439856031
24,4,873259889,2074938332
25,6,1819986231,-542377970
26,6,907778690,-1121482871
27,6,293073379,1963197635
28,8,-1879082852,113047672
29,7,868203361,443075990
30,9,2082341207,-1481276026
31,2,-2136737195,1315802005
32,11,1897439154,-1385586834
33,6,48046602,-1158725205
34,11,833281567,-1788838210
35,10,19106387,-876956502
36,10,1527999059,762041376
37,10,-1437364477,1741010587
38,9,1934879082,-642297991
39,9,-1543697330,607185770
40,8,784051193,-881608849
41,1,1126018813,-2132774761
42,4,-1117376066,-1919233812
43,8,-702521221,-85719326
44,9,1009654973,-1728144978
45,1,2062803308,762970461
46,3,2106718552,-21053133
47,6,2112626760,-2119387174
48,6,-415441607,-640603288
49,6,1925214405,-461562710
50,7,1432134617,-1590414418
51,5,1669053262,-375994058
52,8,301032505,-1125387703
53,1,137688954,2066404116
54,5,-1876713918,-656095535
55,1,1208695351,-1559384966
56,7,551397366,-2049232368
57,6,1673010174,-1833862954
58,10,-412519655,2071414821
59,7,2127224540,433427814
60,8,-381247663,2145748707
61,9,-367371683,-532424234
62,6,-1653732019,170359878
63,4,-1361087710,-1662032767
64,8,404893423,593830196
65,1,1102800948,-1314607092
66,2,1729320748,651740023
67,10,409891853,-1574546769
68,2,337629885,1029818679
69,8,1771467246,-606239290
70,1,-947041367,1174800892
71,2,-1848975634,164021531
72,8,1359027143,-286783349
73,2,-910968425,1354787029
74,7,-880334060,-1865407766
75,6,1882848115,-1731880374
76,10,682451401,-2047653563
77,6,-2072666213,1485034284
78,2,-39888878,-733729750
79,11,-828277352,1613571446
80,5,-2092830025,751060649
81,1,-603431355,-976634031
82,6,-959210322,634867742
83,6,-1832883782,1856337938
84,10,1684340748,1432822725
85,9,423189068,848603427
86,1,168423386,-2133946371
87,8,1888070252,-461009745
88,2,-1939603578,927358891
89,6,-1555268435,778651761
90,6,-532513388,-1780147450
91,9,-163124528,-1997346731
92,8,-67714065,-1291612502
93,8,-1155407914,688099646
94,11,328554523,1800524895
95,4,-1137889271,-275187469
96,2,-1238448325,1210447853
97,6,39598619,1813512706
98,3,-1294227844,1725160788
99,11,844343608,-319443189
100,2,163987342,272698478
101,3,1853065245,810844188
102,1,-676424546,58976641
103,5,-577166717,341726853
104,6,1295294386,151658891
105,6,-698691298,-320710537
106,9,-840232079,-1613607697
107,5,-1666770554,-1330083937
108,6,1273425907,68027019
109,11,1926915284,-1225636309
110,10,-2066554835,1133539760
111,6,-1828497779,-205905832
112,5,1125554709,-1679291598
113,6,1013776348,-1317828363
114,6,-14830279,-1107022633
115,5,-1486349679,363434215
116,7,-1366926941,453197839
117,5,-642431856,-894108841
118,5,1656229524,701563289
119,6,210863728,-1328971574
120,3,742548772,1454251108
121,1,-2132279275,51059915
122,10,1721658847,962597261
123,9,-1696591383,-1754904788
124,9,-793730318,-1446195219
125,8,1720676493,-310896209
126,9,-28215385,1500981322
127,2,-1223460766,1438452798
128,7,1040031265,1485371517
129,10,-1924708838,957832321
130,8,-1407446686,-320214531
131,10,277222507,470550119
132,2,1268504284,-606454103
133,6,-1943098690,-225262287
134,10,76585945,-1037833581
135,4,-94418917,1465527499
136,11,-121817067,-563039175
137,3,-531859096,741485243
138,1,-1109618239,-2077760019
139,2,-164101622,1106955173
140,6,-1041360697,1958075510
141,3,-2043137212,594353899
142,11,-480213756,-295202511
143,6,-107717276,1451109982
144,11,306538121,-865723935
145,1,-461678197,1888473416
146,11,-1276970770,1654636075
147,8,739633564,-1765555050
148,9,2080655489,-2082053279
149,6,2060318379,-2035380580
150,5,-1339284295,529920717
151,8,2039793574,-1256389827
152,10,-1063854865,-102880908
153,6,900371951,-1287070553
154,1,-1510032909,-1164804323
155,1,-579042794,-1713581883
156,6,-491068517,1452723428
157,6,-1148090156,1724484605
158,10,355678691,-1113562697
159,2,-754028607,-362045437
160,3,1290561888,-1787049373
161,7,-643137726,-1448739871
162,8,-516796366,-1484464718
163,6,-609282199,-2003407939
164,10,390414058,386573767
165,1,-160897404,1223102440
166,8,61103183,-1746639132
167,4,-204147214,-471551833
168,9,1464256147,1304137953
169,6,-1048256804,-501502452
170,1,1934330889,1422727483
171,11,1045197818,-772874
172,6,177626925,-1052942727
173,6,-2024875080,-131489196
174,9,-474118942,-1319155988
175,2,-1070144374,-1623557197
176,6,-143925033,-1490433214
177,6,-2042488825,881670211
178,2,-970541854,1098783429
179,5,1382016483,1884402970
180,8,163028429,-257548897
181,5,-216238399,-315374542
182,11,1658519906,-1403906834
183,2,-1532472227,-462935566
184,6,868305672,-170686143
185,2,-1735147302,1839992446
186,8,-184053427,-1213108013
187,6,451193234,-521257291
188,4,1257210060,-1393661796
189,11,1301674278,-1660790865
190,8,-1096920996,-176962830
191,4,-326931913,-1334756219
192,2,1571377919,-1443700058
193,9,-1430775276,-2044997552
194,1,-824439019,395377677
195,10,1518792216,-451837697
196,6,-1607730641,-1390630306
197,7,1016878983,1147641115
198,11,753435489,-927835116
199,1,-1691866940,1499396423
200,7,-482642938,799256523
201,11,845303176,-1655451233
202,1,1310687760,-694659857
203,3,-1314190492,-82987976
204,1,-468091037,-161859860
205,6,641067346,663985675
206,3,1103683944,1559269618
207,10,429242133,-1355384081
208,6,874739968,1588444263
209,1,-783450096,-1577591334
210,1,47255385,82472518
211,6,1574658156,-1379639103
212,6,1167646773,440086990
213,7,277704848,310147401
214,5,-1766226582,1366485425
215,5,-276627281,661014171
216,7,-651542167,1538651517
217,6,-941474780,1480695609
218,1,1911939,-1651625354
219,11,-2132767212,845014423
220,11,603882912,-1167586409
221,5,1699216468,1609696066
222,9,626288423,-1743616570
223,9,984739719,-611948353
224,3,-1089861813,-1895386908
225,8,1688175220,-1575713240
226,6,-241870330,2105340866
227,4,-513996604,1329263535
228,7,1777719173,-1764308930
229,5,-1399354063,246189174
230,2,-1938963686,254893232
231,4,-1102546796,-939305722
232,10,258995371,868189530
233,5,337307829,-718193870
234,10,367827516,-2077752737
235,6,-1999881602,-1830951542
236,3,-1258038578,-54596164
237,5,-865893936,592511469
238,6,135450686,-1360403287
239,8,-820214302,199994799
240,10,-1177234660,-1970315108
241,7,1965047374,1016211411
242,3,-178672398,1432733187
243,6,-876008936,-418597871
244,3,1871582555,-1656692335
245,6,-972312846,-998802535
246,3,-1377694023,-1368451435
247,5,671288860,-1965831419
248,3,1608702,1296472035
249,10,-319076899,1303083899
250,7,711213293,1502342787
251,11,884692959,1043408683
252,9,326543928,930635734
253,11,950150380,193581335
254,1,226726857,64373352
255,8,-840633561,1788704361
256,6,-32267522,-1263946329
257,6,150085918,-2028093659
258,6,-1702585322,1937517118
259,3,-732727863,1071435706
260,2,2035139904,-229468687
261,7,1534413573,1164710588
262,8,1346588235,925029630
263,8,-135534796,597807603
264,10,-1673063101,742191011
265,5,-988645210,-909180408
266,2,-371633844,385262005
267,4,-527398205,107539495
268,10,855563376,229538395
269,7,1863394147,1098555850
270,8,1804712061,-575007009
271,11,908358449,1675580083
272,10,-507070286,598782343
273,10,1234966457,949978752
274,7,-296541179,-764827795
275,8,1178577960,838055999
276,5,-1107229297,-1550421550
277,5,-216256254,-103363152
278,9,328996608,-462194064
279,4,2125026975,173724639
280,9,1367012749,2093212841
281,11,-71715625,354500442
282,6,-2033004771,-1407172195
283,9,-743621445,1736845720
284,10,-2080389553,-1272476163
285,4,-1735940035,875639644
286,4,1322220804,1836287621
287,6,-1329939221,-857292503
288,3,538466598,365208395
289,1,-1652024741,414613878
290,1,1349563503,250531850
291,9,-18764842,1662251850
292,9,394695653,-81423443
293,6,-458150044,1322377268
294,7,-1196756944,1263410772
295,3,-389872780,-781827591
296,2,-1660793712,-1652198270
297,7,1638655379,212842830
298,6,542594011,-596389346
299,11,-803052489,-488504672
300,3,-1408776406,737554339
301,3,-1018810540,-263608652
302,3,1670780553,-553545449
303,11,785226096,818704884
304,8,489816097,1507978972
305,7,703964910,1947700174
306,9,-2116801128,1229201197
307,6,76289362,-270093358
308,8,1681851937,-33257126
309,2,-803415954,-2022798343
310,1,1796568191,493387837
311,1,745099123,981661651
312,6,1524859311,300816562
313,7,-1853857798,874423462
314,6,-1167706635,-1286120029
315,1,1885644136,-267556959
316,11,-919751915,1314057742
317,3,1167977763,293522089
318,8,-85193257,1292004975
319,6,-1594894021,1496992079
320,1,-1243332749,-405137859
321,11,1239897158,-468484918
322,6,1503376508,124088173
323,9,2031463177,-1022446428
324,9,1049262102,-109645661
325,11,1424371389,-115670439
326,5,850992737,-956269521
327,7,-1888377706,-15246738
328,5,33300151,1523589770
329,3,-1955598593,353353234
330,4,831957666,2036214096
331,7,-195760111,451259136
332,5,1721195515,1435892726
333,2,1305812819,19285204
334,11,2130161030,285019734
335,5,-825366978,-574165015
336,8,672809796,-591460916
